age,workclass,education_num,marital.status,occupation,relationship,race,sex,capital.gain,capital_loss,hours_per_week,income
90,0,9,6,0,1,4,0,0,4356,40,0
82,4,9,6,4,1,4,0,0,4356,18,0
66,0,10,6,0,4,2,0,0,4356,40,0
54,4,4,0,7,4,4,0,0,3900,40,0
41,4,10,5,10,3,4,0,0,3900,40,0
34,4,9,0,8,4,4,0,0,3770,45,0
38,4,6,5,1,4,4,1,0,3770,40,0
74,7,16,4,10,2,4,0,0,3683,20,1
68,1,9,0,10,1,4,0,0,3683,40,0
41,4,10,4,3,4,4,1,0,3004,60,1
45,4,16,0,10,4,2,0,0,3004,35,1
38,6,15,4,10,1,4,1,0,2824,45,1
52,4,13,6,8,1,4,0,0,2824,20,1
32,4,14,5,4,1,4,1,0,2824,55,1
51,0,16,4,0,1,4,1,0,2824,40,1
46,4,15,0,10,1,4,1,0,2824,40,1
45,4,7,0,14,1,4,1,0,2824,76,1
57,4,14,0,4,1,4,1,0,2824,50,1
22,4,12,4,6,1,2,1,0,2824,40,1
34,4,13,5,12,1,4,1,0,2824,50,1
37,4,13,4,4,1,4,1,0,2824,40,1
29,4,7,5,12,1,4,0,0,2754,42,0
61,4,9,0,12,4,4,0,0,2754,25,0
51,4,10,2,14,0,4,1,0,2603,40,0
61,0,9,2,0,0,4,1,0,2603,32,0
21,4,11,2,3,0,4,1,0,2603,40,0
33,4,2,2,3,1,4,1,0,2603,32,0
49,4,3,2,8,0,4,1,0,2603,40,0
37,5,6,4,14,1,4,1,0,2559,50,1
38,4,6,4,10,1,4,1,0,2559,90,1
23,4,10,5,8,1,4,1,0,2559,40,1
59,5,6,6,4,4,4,0,0,2559,50,1
52,4,15,0,4,1,4,1,0,2559,60,1
51,4,13,0,4,1,4,1,0,2559,50,1
60,6,9,4,4,1,2,1,0,2559,50,1
63,1,16,0,4,1,4,0,0,2559,60,1
53,4,9,4,12,1,4,1,0,2559,48,1
51,4,15,4,10,1,4,0,0,2559,50,1
